montant,heure,pays,appareil,type_transaction,nombre_transactions_24h,ecart_moyenne,transaction_etrangere,nouvel_appareil,transactions_rapides,categorie_commercant,score_risque_localisation,score_risque_ip,fraude
4898.65,23,Germany,mobile,transfer,0,0.18,0,0,1,gaming,83,17,0
2596.02,10,Nigeria,ATM,transfer,3,1.24,1,1,0,electronics,81,95,1
5696.96,19,Germany,mobile,purchase,7,1.98,0,1,1,travel,48,78,0
13670.97,10,USA,ATM,transfer,2,1.2,1,0,0,electronics,28,62,0
2358.65,19,South Africa,mobile,payment,3,-1.25,1,1,0,travel,64,5,0
2358.69,11,Nigeria,mobile,withdrawal,2,0.08,1,1,0,gaming,27,55,0
14461.03,17,South Africa,mobile,payment,5,-0.32,0,1,0,gaming,18,41,0
6421.68,1,Russia,ATM,withdrawal,1,1.04,1,0,1,electronics,93,79,0
1864.09,3,Germany,web,purchase,0,-2.09,1,1,1,gaming,60,88,1
5128.46,3,Russia,web,withdrawal,6,-0.15,1,1,0,electronics,47,62,1
1875.41,20,Nigeria,mobile,purchase,4,-0.21,1,0,1,food,83,49,0
1871.08,13,South Africa,ATM,withdrawal,2,0.81,1,0,1,luxury,53,21,0
3796.98,12,South Africa,web,purchase,3,0.18,1,0,0,food,85,58,0
439.98,8,USA,ATM,transfer,1,0.48,1,1,1,gaming,25,82,1
531.17,14,USA,web,transfer,3,-0.24,0,0,0,food,50,73,0
1698.86,22,Nigeria,mobile,purchase,4,1.85,1,0,1,groceries,2,93,0
1082.65,21,Russia,web,withdrawal,3,-1.13,0,1,1,gaming,32,62,0
4081.61,9,Nigeria,ATM,payment,1,0.19,1,1,1,food,15,90,1
1202.28,4,France,ATM,purchase,3,0.15,0,1,0,gaming,28,45,0
726.11,3,France,web,purchase,3,0.0,0,1,0,electronics,71,98,1
12908.6,17,USA,web,purchase,7,-0.16,0,1,0,food,62,92,0
2378.5,3,Nigeria,ATM,transfer,6,0.7,1,1,1,food,36,34,1
3189.21,15,Nigeria,ATM,purchase,4,-0.46,1,1,1,electronics,11,43,0
717.13,10,Nigeria,ATM,purchase,2,1.69,0,0,1,luxury,98,61,0
1729.55,6,France,ATM,withdrawal,4,-1.67,0,1,1,electronics,6,79,0
3330.65,0,France,mobile,payment,1,0.95,0,0,1,electronics,36,55,0
942.94,2,France,ATM,payment,3,-1.18,1,0,1,gaming,53,76,0
4340.3,15,Madagascar,ATM,withdrawal,3,-0.93,0,1,1,luxury,65,46,0
1634.94,3,Russia,web,purchase,2,0.7,0,0,1,travel,92,26,0
2226.77,22,Nigeria,mobile,purchase,2,-0.9,1,0,0,groceries,57,38,0
1633.19,2,South Africa,ATM,withdrawal,5,-0.55,1,0,1,travel,6,33,0
19001.59,19,USA,mobile,purchase,1,0.65,1,0,1,travel,40,60,0
2940.99,0,USA,ATM,transfer,5,1.28,0,0,1,gaming,74,65,0
1035.14,0,Madagascar,web,payment,4,0.47,0,0,0,food,29,13,0
6785.51,9,France,mobile,payment,3,0.7,0,1,1,groceries,65,88,0
879.33,11,France,ATM,payment,3,1.51,0,1,0,electronics,72,76,0
3673.37,2,Germany,web,purchase,3,2.11,0,1,0,groceries,14,48,0
420.03,22,Nigeria,mobile,purchase,3,-0.92,1,0,1,gaming,8,91,0
789.83,12,Germany,mobile,withdrawal,0,0.47,1,1,1,luxury,97,6,0
